	price	index_id	date
159	10468.1	TAIEX	2011/8/29
160	10562.33	TAIEX	2011/8/30
161	10694.67	TAIEX	2011/8/31
162	10719.39	TAIEX	2011/9/1
163	10718.52	TAIEX	2011/9/2
164	10434.69	TAIEX	2011/9/5
165	10180.16	TAIEX	2011/9/6
166	10404.13	TAIEX	2011/9/7
167	10431	TAIEX	2011/9/8
168	10518.89	TAIEX	2011/9/9
169	10216.62	TAIEX	2011/9/13
170	9991.89	TAIEX	2011/9/14
171	10210.99	TAIEX	2011/9/15
172	10476.29	TAIEX	2011/9/16
173	10343.44	TAIEX	2011/9/19
174	10360.48	TAIEX	2011/9/20
175	10420.43	TAIEX	2011/9/21
176	10103.8	TAIEX	2011/9/22
177	9745.2	TAIEX	2011/9/23
178	9511.64	TAIEX	2011/9/26
179	9806.29	TAIEX	2011/9/27
180	9885.4	TAIEX	2011/9/28
181	9934.74	TAIEX	2011/9/29
182	9993.91	TAIEX	2011/9/30
183	9701.96	TAIEX	2011/10/3
184	9748.86	TAIEX	2011/10/4
185	9667.69	TAIEX	2011/10/5
186	9865.28	TAIEX	2011/10/6
187	9975.99	TAIEX	2011/10/7
188	10234.32	TAIEX	2011/10/11
189	10211.71	TAIEX	2011/10/12
190	10275.31	TAIEX	2011/10/13
191	10178.14	TAIEX	2011/10/14
192	10320.69	TAIEX	2011/10/17
193	10180.09	TAIEX	2011/10/18
194	10172.13	TAIEX	2011/10/19
195	10021.28	TAIEX	2011/10/20
196	10035.38	TAIEX	2011/10/21
197	10333.88	TAIEX	2011/10/24
198	10363.31	TAIEX	2011/10/25
199	10425.01	TAIEX	2011/10/26
200	10465.68	TAIEX	2011/10/27
201	10536.03	TAIEX	2011/10/28
202	10497.17	TAIEX	2011/10/31
203	10544.64	TAIEX	2011/11/1
204	10512.05	TAIEX	2011/11/2
205	10320.95	TAIEX	2011/11/3
206	10518.66	TAIEX	2011/11/4
207	10544.25	TAIEX	2011/11/7
208	10515.29	TAIEX	2011/11/8
209	10461.44	TAIEX	2011/11/9
210	10111.17	TAIEX	2011/11/10
211	10192.26	TAIEX	2011/11/11
212	10411.44	TAIEX	2011/11/14
213	10363.6	TAIEX	2011/11/15
214	10220.35	TAIEX	2011/11/16
215	10220.75	TAIEX	2011/11/17
216	10007.66	TAIEX	2011/11/18
217	9743.22	TAIEX	2011/11/21
218	9684.27	TAIEX	2011/11/22
219	9416.44	TAIEX	2011/11/23
220	9496.62	TAIEX	2011/11/24
221	9386.12	TAIEX	2011/11/25
222	9544.2	TAIEX	2011/11/28
223	9668.53	TAIEX	2011/11/29
224	9551.58	TAIEX	2011/11/30
225	9931.44	TAIEX	2011/12/1
226	9878.85	TAIEX	2011/12/2
227	9819.92	TAIEX	2011/12/5
228	9623.74	TAIEX	2011/12/6
229	9729.89	TAIEX	2011/12/7
230	9660.57	TAIEX	2011/12/8
231	9536.62	TAIEX	2011/12/9
232	9613.73	TAIEX	2011/12/12
233	9540.78	TAIEX	2011/12/13
234	9577.1	TAIEX	2011/12/14
235	9358.55	TAIEX	2011/12/15
236	9386.9	TAIEX	2011/12/16
237	9176.95	TAIEX	2011/12/19
238	9217.51	TAIEX	2011/12/20
239	9637.85	TAIEX	2011/12/21
240	9637.67	TAIEX	2011/12/22
241	9837.42	TAIEX	2011/12/23
242	9812.31	TAIEX	2011/12/26
243	9801.87	TAIEX	2011/12/27
244	9762.63	TAIEX	2011/12/28
245	9787.73	TAIEX	2011/12/29
246	9783.94	TAIEX	2011/12/30
247	9618.11	TAIEX	2012/1/2
248	9758.08	TAIEX	2012/1/3
249	9799.01	TAIEX	2012/1/4
250	9865.26	TAIEX	2012/1/5
251	9850.95	TAIEX	2012/1/6
252	9812.95	TAIEX	2012/1/9
253	9931.69	TAIEX	2012/1/10
254	9944.61	TAIEX	2012/1/11
255	9942.35	TAIEX	2012/1/12
256	9935.38	TAIEX	2012/1/13
257	9827.58	TAIEX	2012/1/16
258	9990.08	TAIEX	2012/1/17
259	10007.53	TAIEX	2012/1/18
260	10247.87	TAIEX	2012/1/30
261	10399.58	TAIEX	2012/1/31
262	10444.04	TAIEX	2012/2/1
263	10586.89	TAIEX	2012/2/2
264	10618.05	TAIEX	2012/2/3
265	10709.71	TAIEX	2012/2/4
266	10636.02	TAIEX	2012/2/6
267	10662.94	TAIEX	2012/2/7
268	10887.72	TAIEX	2012/2/8
269	10944.26	TAIEX	2012/2/9
270	10877.14	TAIEX	2012/2/10
271	10947.2	TAIEX	2012/2/13
272	10907.32	TAIEX	2012/2/14
273	11074.94	TAIEX	2012/2/15
274	10887.42	TAIEX	2012/2/16
275	10921.54	TAIEX	2012/2/17
276	11005.19	TAIEX	2012/2/20
277	10959.09	TAIEX	2012/2/21
278	11070.02	TAIEX	2012/2/22
279	10980.94	TAIEX	2012/2/23
280	11011.44	TAIEX	2012/2/24
281	11235.69	TAIEX	2012/2/29
282	11231.4	TAIEX	2012/3/1
283	11266.96	TAIEX	2012/3/2
284	11226.02	TAIEX	2012/3/3
285	11074.25	TAIEX	2012/3/5
286	10981.87	TAIEX	2012/3/6
287	10933.6	TAIEX	2012/3/7
288	11046.33	TAIEX	2012/3/8
289	11089.84	TAIEX	2012/3/9
290	10967.46	TAIEX	2012/3/12
291	11111.29	TAIEX	2012/3/13
292	11240.98	TAIEX	2012/3/14
293	11235.94	TAIEX	2012/3/15
294	11143.7	TAIEX	2012/3/16
295	11128.45	TAIEX	2012/3/19
296	11029.93	TAIEX	2012/3/20
297	11042.7	TAIEX	2012/3/21
298	11150.61	TAIEX	2012/3/22
299	11173.68	TAIEX	2012/3/23
300	11022.89	TAIEX	2012/3/26
301	11108.44	TAIEX	2012/3/27
302	11120.36	TAIEX	2012/3/28
303	10891.53	TAIEX	2012/3/29
304	10975	TAIEX	2012/3/30
305	10878.02	TAIEX	2012/4/2
306	10736.83	TAIEX	2012/4/3
307	10569.4	TAIEX	2012/4/5
308	10661.32	TAIEX	2012/4/6
309	10515.51	TAIEX	2012/4/9
310	10570.58	TAIEX	2012/4/10
311	10592.7	TAIEX	2012/4/11
312	10601.36	TAIEX	2012/4/12
313	10774.78	TAIEX	2012/4/13
314	10693.96	TAIEX	2012/4/16
315	10494.76	TAIEX	2012/4/17
316	10521.22	TAIEX	2012/4/18
317	10545.7	TAIEX	2012/4/19
318	10385.85	TAIEX	2012/4/20
319	10349.8	TAIEX	2012/4/23
320	10374.36	TAIEX	2012/4/24
321	10463.36	TAIEX	2012/4/25
322	10405.5	TAIEX	2012/4/26
323	10348.98	TAIEX	2012/4/27
324	10378.34	TAIEX	2012/4/30
325	10620.57	TAIEX	2012/5/2
326	10596.66	TAIEX	2012/5/3
327	10653.97	TAIEX	2012/5/4
328	10429.23	TAIEX	2012/5/7
329	10439.79	TAIEX	2012/5/8
330	10342.94	TAIEX	2012/5/9
331	10354.81	TAIEX	2012/5/10
332	10240.47	TAIEX	2012/5/11
333	10206.99	TAIEX	2012/5/14
334	10232.54	TAIEX	2012/5/15
335	10009.69	TAIEX	2012/5/16
336	10178.84	TAIEX	2012/5/17
337	9894.4	TAIEX	2012/5/18
338	9951.18	TAIEX	2012/5/21
339	10065.55	TAIEX	2012/5/22
340	9889.64	TAIEX	2012/5/23
341	9858.26	TAIEX	2012/5/24
342	9784.57	TAIEX	2012/5/25
343	9873.63	TAIEX	2012/5/28
344	10160	TAIEX	2012/5/29
345	10048.63	TAIEX	2012/5/30
346	10103.56	TAIEX	2012/5/31
347	9833.16	TAIEX	2012/6/1
348	9541.15	TAIEX	2012/6/4
349	9687.62	TAIEX	2012/6/5
350	9764.71	TAIEX	2012/6/6
351	9798.14	TAIEX	2012/6/7
352	9686.52	TAIEX	2012/6/8
353	9853.39	TAIEX	2012/6/11
354	9786.85	TAIEX	2012/6/12
355	9810.23	TAIEX	2012/6/13
356	9791.23	TAIEX	2012/6/14
357	9902.95	TAIEX	2012/6/15
358	10076.87	TAIEX	2012/6/18
359	10065.31	TAIEX	2012/6/19
360	10150.52	TAIEX	2012/6/20
361	10074.23	TAIEX	2012/6/21
362	9995.55	TAIEX	2012/6/22
363	9918.82	TAIEX	2012/6/25
364	9879.48	TAIEX	2012/6/26
365	9942.81	TAIEX	2012/6/27
366	9930.23	TAIEX	2012/6/28
367	10106.39	TAIEX	2012/6/29
368	10175.26	TAIEX	2012/7/2
369	10281.59	TAIEX	2012/7/3
370	10351.39	TAIEX	2012/7/4
371	10325.78	TAIEX	2012/7/5
372	10300.17	TAIEX	2012/7/6
373	10247.64	TAIEX	2012/7/9
374	10167.78	TAIEX	2012/7/10
375	10190.23	TAIEX	2012/7/11
376	10021.66	TAIEX	2012/7/12
377	9987.44	TAIEX	2012/7/13
378	9979.59	TAIEX	2012/7/16
379	10063.85	TAIEX	2012/7/17
380	9957.71	TAIEX	2012/7/18
381	10107.93	TAIEX	2012/7/19
382	10134.82	TAIEX	2012/7/20
383	9943.69	TAIEX	2012/7/23
384	9920.62	TAIEX	2012/7/24
385	9889.5	TAIEX	2012/7/25
386	9891.39	TAIEX	2012/7/26
387	10113.39	TAIEX	2012/7/27
388	10163.39	TAIEX	2012/7/30
389	10325.98	TAIEX	2012/7/31
390	10334.54	TAIEX	2012/8/1
391	10269.69	TAIEX	2012/8/3
392	10371.21	TAIEX	2012/8/6
393	10391.98	TAIEX	2012/8/7
394	10440.47	TAIEX	2012/8/8
395	10621.32	TAIEX	2012/8/9
396	10642.7	TAIEX	2012/8/10
397	10636.28	TAIEX	2012/8/13
398	10699.41	TAIEX	2012/8/14
399	10688.72	TAIEX	2012/8/15
400	10726.08	TAIEX	2012/8/16
401	10694.42	TAIEX	2012/8/17
402	10645.59	TAIEX	2012/8/20
403	10757.33	TAIEX	2012/8/21
404	10748.86	TAIEX	2012/8/22
405	10762.54	TAIEX	2012/8/23
406	10723.04	TAIEX	2012/8/24
407	10709.69	TAIEX	2012/8/27
408	10557.4	TAIEX	2012/8/28
409	10599.82	TAIEX	2012/8/29
410	10573.97	TAIEX	2012/8/30
411	10610.76	TAIEX	2012/8/31
412	10687.97	TAIEX	2012/9/3
413	10689.18	TAIEX	2012/9/4
414	10569.05	TAIEX	2012/9/5
415	10511.03	TAIEX	2012/9/6
416	10651.93	TAIEX	2012/9/7
417	10735.56	TAIEX	2012/9/10
418	10739.09	TAIEX	2012/9/11
419	10862.38	TAIEX	2012/9/12
420	10875.06	TAIEX	2012/9/13
421	11103.7	TAIEX	2012/9/14
422	11138.6	TAIEX	2012/9/17
423	11098.77	TAIEX	2012/9/18
424	11167.47	TAIEX	2012/9/19
425	11089.47	TAIEX	2012/9/20
426	11128.32	TAIEX	2012/9/21
427	11148.02	TAIEX	2012/9/24
428	11099.07	TAIEX	2012/9/25
429	11006.52	TAIEX	2012/9/26
430	11026.9	TAIEX	2012/9/27
431	11072.13	TAIEX	2012/9/28
432	11015.53	TAIEX	2012/10/1
433	11077.18	TAIEX	2012/10/2
434	11028.31	TAIEX	2012/10/3
435	11025.05	TAIEX	2012/10/4
436	11036.98	TAIEX	2012/10/5
437	10929.68	TAIEX	2012/10/8
438	10895.41	TAIEX	2012/10/9
439	10694.08	TAIEX	2012/10/11
440	10673.01	TAIEX	2012/10/12
441	10646.98	TAIEX	2012/10/15
442	10721.77	TAIEX	2012/10/16
443	10712.28	TAIEX	2012/10/17
444	10713.72	TAIEX	2012/10/18
445	10632.42	TAIEX	2012/10/19
446	10581.16	TAIEX	2012/10/22
447	10530.14	TAIEX	2012/10/23
448	10497.71	TAIEX	2012/10/24
449	10422.29	TAIEX	2012/10/25
450	10238.55	TAIEX	2012/10/26
451	10177.72	TAIEX	2012/10/29
452	10308.28	TAIEX	2012/10/30
453	10284.53	TAIEX	2012/10/31
454	10304.03	TAIEX	2012/11/1
455	10348.28	TAIEX	2012/11/2
456	10312.24	TAIEX	2012/11/5
457	10385.89	TAIEX	2012/11/6
458	10458.37	TAIEX	2012/11/7
459	10394.44	TAIEX	2012/11/8
460	10467.05	TAIEX	2012/11/9
461	10430.49	TAIEX	2012/11/12
462	10241.47	TAIEX	2012/11/13
